Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 343086, Episode: 347, Reward: -21.00, Epsilon: 0.700
Step: 344003, Episode: 348, Reward: -20.00, Epsilon: 0.699
Step: 344875, Episode: 349, Reward: -21.00, Epsilon: 0.699
Step: 345863, Episode: 350, Reward: -20.00, Epsilon: 0.698
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 350, Step 345863) ---
Avg Reward over 20 episodes: -20.00 (Duration: 17.78s)
--------------------------------------------------
Step: 346747, Episode: 351, Reward: -21.00, Epsilon: 0.697
Step: 347659, Episode: 352, Reward: -21.00, Epsilon: 0.696
Step: 348580, Episode: 353, Reward: -20.00, Epsilon: 0.695
Step: 349653, Episode: 354, Reward: -18.00, Epsilon: 0.694
Step: 350625, Episode: 355, Reward: -19.00, Epsilon: 0.693
Step: 351512, Episode: 356, Reward: -20.00, Epsilon: 0.693
Step: 352377, Episode: 357, Reward: -21.00, Epsilon: 0.692
Step: 353281, Episode: 358, Reward: -20.00, Epsilon: 0.691
Step: 354230, Episode: 359, Reward: -20.00, Epsilon: 0.690
Step: 355054, Episode: 360, Reward: -21.00, Epsilon: 0.689
Step: 356048, Episode: 361, Reward: -21.00, Epsilon: 0.689
Step: 357364, Episode: 362, Reward: -18.00, Epsilon: 0.687
Step: 358313, Episode: 363, Reward: -19.00, Epsilon: 0.687
Step: 359261, Episode: 364, Reward: -20.00, Epsilon: 0.686
Step: 360179, Episode: 365, Reward: -21.00, Epsilon: 0.685
Step: 361095, Episode: 366, Reward: -20.00, Epsilon: 0.684
Step: 362041, Episode: 367, Reward: -20.00, Epsilon: 0.683
Step: 363045, Episode: 368, Reward: -21.00, Epsilon: 0.682
Step: 363927, Episode: 369, Reward: -21.00, Epsilon: 0.681
Step: 364910, Episode: 370, Reward: -19.00, Epsilon: 0.681
Step: 365902, Episode: 371, Reward: -21.00, Epsilon: 0.680
Step: 366901, Episode: 372, Reward: -19.00, Epsilon: 0.679
