Using device: cuda
[Ep 391] R=15.0  Steps=829296  ε=0.0500
[Train 780000] loss=0.0022
[Ep 392] R=14.0  Steps=831756  ε=0.0500
[Ep 393] R=12.0  Steps=834188  ε=0.0500
[Ep 394] R=13.0  Steps=837031  ε=0.0500
[Ep 395] R=12.0  Steps=839354  ε=0.0500
[Train 790000] loss=0.0012
[Ep 396] R=15.0  Steps=841546  ε=0.0500
[Ep 397] R=14.0  Steps=843772  ε=0.0500
[Ep 398] R= 8.0  Steps=846907  ε=0.0500
[Ep 399] R=16.0  Steps=849101  ε=0.0500
*** (avg_R=17.20) ***
*** New best model saved: LAB5_B11017015_task3_pong_849101.pt ***
[Train 800000] loss=0.0020
[Ep 400] R=18.0  Steps=850903  ε=0.0500
[Ep 401] R= 3.0  Steps=854170  ε=0.0500
[Ep 402] R=16.0  Steps=856356  ε=0.0500
[Ep 403] R=19.0  Steps=858293  ε=0.0500
[Train 810000] loss=0.0012
[Ep 404] R=12.0  Steps=860975  ε=0.0500
[Ep 405] R= 8.0  Steps=864442  ε=0.0500
[Ep 406] R=12.0  Steps=866901  ε=0.0500
[Ep 407] R=16.0  Steps=869064  ε=0.0500
[Train 820000] loss=0.0027
[Ep 408] R=19.0  Steps=870835  ε=0.0500
[Ep 409] R=15.0  Steps=873313  ε=0.0500
