Using device: cuda
[Ep 307] R=-2.0  Steps=651160  ε=0.0385
[Ep 308] R= 7.0  Steps=654941  ε=0.0378
[Ep 309] R= 7.0  Steps=658335  ε=0.0372
[Train 610000] loss=0.0020
[Ep 310] R= 4.0  Steps=662058  ε=0.0365
[Ep 311] R= 8.0  Steps=665658  ε=0.0359
[Ep 312] R= 2.0  Steps=669722  ε=0.0351
[Train 620000] loss=0.0012
[Ep 313] R= 7.0  Steps=673581  ε=0.0345
[Ep 314] R=13.0  Steps=676857  ε=0.0339
[Train 630000] loss=0.0023
[Ep 315] R= 8.0  Steps=680127  ε=0.0334
[Ep 316] R= 2.0  Steps=684357  ε=0.0327
[Ep 317] R= 9.0  Steps=687546  ε=0.0321
[Train 640000] loss=0.0016
[Ep 318] R= 7.0  Steps=692077  ε=0.0314
[Ep 319] R= 5.0  Steps=695934  ε=0.0308
*** (avg_R=6.25) ***
*** New best model saved: LAB5_B11017015_task3_pong_695934.pt ***
[Ep 320] R=11.0  Steps=698641  ε=0.0304
[Train 650000] loss=0.0036
[Ep 321] R=-1.0  Steps=702802  ε=0.0298
[Ep 322] R=-4.0  Steps=706301  ε=0.0293
[Ep 323] R=12.0  Steps=709583  ε=0.0288
[Train 660000] loss=0.0120
[Ep 324] R= 7.0  Steps=712740  ε=0.0283
[Ep 325] R=-2.0  Steps=716883  ε=0.0278
[Train 670000] loss=0.0031
[Ep 326] R= 2.0  Steps=721140  ε=0.0272
[Ep 327] R= 7.0  Steps=724779  ε=0.0267
[Ep 328] R=15.0  Steps=727401  ε=0.0263
[Train 680000] loss=0.0029
[Ep 329] R=-5.0  Steps=730832  ε=0.0259
[Ep 330] R=10.0  Steps=733838  ε=0.0255
[Ep 331] R=12.0  Steps=736456  ε=0.0252
[Ep 332] R=10.0  Steps=739854  ε=0.0247
[Train 690000] loss=0.0072
[Ep 333] R=12.0  Steps=742811  ε=0.0244
[Ep 334] R=-2.0  Steps=746510  ε=0.0239
[Train 700000] loss=0.0012
[Ep 335] R=11.0  Steps=750105  ε=0.0235
[Ep 336] R=11.0  Steps=753095  ε=0.0232
[Ep 337] R=13.0  Steps=755992  ε=0.0228
[Ep 338] R= 8.0  Steps=759128  ε=0.0225
[Train 710000] loss=0.0144
[Ep 339] R=13.0  Steps=761942  ε=0.0222
*** (avg_R=10.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_761942.pt ***
[Ep 340] R=13.0  Steps=764754  ε=0.0218
[Ep 341] R=10.0  Steps=767852  ε=0.0215
[Train 720000] loss=0.0031
[Ep 342] R= 1.0  Steps=772011  ε=0.0211
[Ep 343] R= 8.0  Steps=775475  ε=0.0207
[Ep 344] R= 9.0  Steps=778866  ε=0.0204
[Train 730000] loss=0.0024
[Ep 345] R=13.0  Steps=781477  ε=0.0201
[Ep 346] R=10.0  Steps=784181  ε=0.0198
[Ep 347] R=12.0  Steps=786952  ε=0.0196
[Train 740000] loss=0.0026
[Ep 348] R=11.0  Steps=790130  ε=0.0192
[Ep 349] R=13.0  Steps=792924  ε=0.0190
[Ep 350] R=11.0  Steps=795954  ε=0.0187
[Ep 351] R= 7.0  Steps=799633  ε=0.0183
[Train 750000] loss=0.0039
[Ep 352] R= 6.0  Steps=803805  ε=0.0180
*** model saved: LAB5_B11017015_task3_pong800000.pt ***
[Ep 353] R=10.0  Steps=807320  ε=0.0177
[Ep 354] R=10.0  Steps=809915  ε=0.0174
[Train 760000] loss=0.0040
[Ep 355] R=11.0  Steps=812929  ε=0.0172
[Ep 356] R=11.0  Steps=816256  ε=0.0169
[Ep 357] R=10.0  Steps=819143  ε=0.0166
[Train 770000] loss=0.0050
[Ep 358] R=11.0  Steps=822314  ε=0.0164
[Ep 359] R= 9.0  Steps=825748  ε=0.0161
*** (avg_R=12.55) ***
*** New best model saved: LAB5_B11017015_task3_pong_825748.pt ***
[Ep 360] R= 9.0  Steps=828986  ε=0.0158
[Train 780000] loss=0.0014
[Ep 361] R=10.0  Steps=832209  ε=0.0156
[Ep 362] R= 6.0  Steps=835825  ε=0.0153
[Ep 363] R= 3.0  Steps=839035  ε=0.0151
[Train 790000] loss=0.0027
[Ep 364] R=15.0  Steps=841717  ε=0.0149
[Ep 365] R=11.0  Steps=844988  ε=0.0146
[Ep 366] R=10.0  Steps=847763  ε=0.0144
[Train 800000] loss=0.0017
[Ep 367] R= 8.0  Steps=851053  ε=0.0142
[Ep 368] R= 9.0  Steps=854563  ε=0.0139
[Ep 369] R=10.0  Steps=857669  ε=0.0137
[Train 810000] loss=0.0038
[Ep 370] R= 8.0  Steps=860867  ε=0.0135
[Ep 371] R=14.0  Steps=863720  ε=0.0133
[Ep 372] R= 7.0  Steps=866732  ε=0.0131
[Ep 373] R=13.0  Steps=869483  ε=0.0129
[Train 820000] loss=0.0033
[Ep 374] R= 8.0  Steps=872753  ε=0.0127
[Ep 375] R= 1.0  Steps=876711  ε=0.0125
[Ep 376] R=14.0  Steps=879416  ε=0.0123
[Train 830000] loss=0.0013
[Ep 377] R=15.0  Steps=882182  ε=0.0121
[Ep 378] R=12.0  Steps=885075  ε=0.0120
[Ep 379] R=16.0  Steps=887423  ε=0.0118
*** (avg_R=12.55) ***
[Train 840000] loss=0.0014
[Ep 380] R= 4.0  Steps=890706  ε=0.0116
[Ep 381] R=13.0  Steps=893462  ε=0.0115
[Ep 382] R=11.0  Steps=896676  ε=0.0113
[Train 850000] loss=0.0018
[Ep 383] R= 4.0  Steps=900385  ε=0.0111
[Ep 384] R=12.0  Steps=903634  ε=0.0109
[Ep 385] R=11.0  Steps=906629  ε=0.0107
[Ep 386] R=14.0  Steps=909592  ε=0.0106
[Train 860000] loss=0.0021
[Ep 387] R=14.0  Steps=912299  ε=0.0104
[Ep 388] R=17.0  Steps=914860  ε=0.0103
[Ep 389] R=14.0  Steps=917511  ε=0.0102
[Train 870000] loss=0.0007
